id_estudiante,id_asignatura,nota,convocatoria,fecha_examen
17,10,3.86,Ordinaria,2023-12-31
17,7,6.99,Extraordinaria,2023-09-21
18,7,5.92,Extraordinaria,2023-07-13
18,5,5.48,Extraordinaria,2023-07-28
18,4,7.42,Ordinaria,2024-11-24
19,3,8.05,Ordinaria,2023-12-08
19,9,7.9,Extraordinaria,2024-10-30
19,8,5.24,Ordinaria,2024-04-22
20,10,6.04,Extraordinaria,2025-05-07
20,2,7.0,Extraordinaria,2024-07-28
20,6,7.96,Extraordinaria,2024-11-12
21,4,5.78,Ordinaria,2024-08-13
21,10,6.22,Extraordinaria,2024-04-13
21,5,4.84,Ordinaria,2025-03-25
22,2,4.71,Ordinaria,2024-12-14
22,10,7.72,Ordinaria,2024-01-20
22,6,8.53,Extraordinaria,2023-10-19
23,3,6.39,Ordinaria,2024-02-28
23,6,8.01,Extraordinaria,2023-12-11
23,7,7.04,Ordinaria,2024-06-30
24,10,5.53,Extraordinaria,2025-03-24
24,9,7.04,Extraordinaria,2023-07-30
24,4,8.81,Extraordinaria,2024-05-23
25,6,6.45,Ordinaria,2025-01-07
25,3,8.85,Extraordinaria,2024-10-30
25,4,2.57,Ordinaria,2025-04-22
26,9,7.73,Ordinaria,2024-11-25
26,8,6.63,Extraordinaria,2024-04-02
26,6,6.05,Ordinaria,2025-04-07
27,8,6.64,Extraordinaria,2023-08-11
27,10,3.52,Ordinaria,2023-07-31
27,3,6.17,Ordinaria,2023-07-23
28,10,7.04,Ordinaria,2024-07-24
28,6,8.72,Extraordinaria,2024-07-03
28,5,5.72,Extraordinaria,2025-01-28
29,4,5.29,Extraordinaria,2023-12-09
29,8,5.75,Ordinaria,2023-08-19
29,5,7.87,Extraordinaria,2023-12-26
30,3,6.99,Ordinaria,2023-12-23
30,4,5.71,Ordinaria,2023-07-29
30,9,7.27,Extraordinaria,2024-04-27
31,7,6.65,Ordinaria,2024-05-24
31,5,7.95,Extraordinaria,2025-04-16
31,3,5.45,Extraordinaria,2025-01-12
32,7,6.01,Extraordinaria,2024-03-04
32,8,5.91,Extraordinaria,2025-01-09
32,6,4.3,Ordinaria,2024-03-29
33,9,6.94,Ordinaria,2024-04-09
33,5,6.89,Extraordinaria,2023-08-16
33,10,6.51,Ordinaria,2023-11-20
34,3,6.15,Extraordinaria,2023-06-14
34,6,4.38,Extraordinaria,2024-12-15
34,1,5.87,Ordinaria,2023-08-22
35,10,5.99,Extraordinaria,2025-02-18
35,3,5.3,Extraordinaria,2024-01-27
35,8,6.26,Ordinaria,2024-01-12
36,4,7.11,Ordinaria,2024-10-20
36,10,9.33,Extraordinaria,2023-12-26
36,9,6.76,Ordinaria,2024-02-12
37,3,6.89,Ordinaria,2024-07-17
37,7,6.39,Ordinaria,2024-02-29
37,9,3.62,Ordinaria,2024-08-18
38,6,6.46,Ordinaria,2024-08-19
38,8,6.59,Ordinaria,2025-01-28
38,3,10.0,Extraordinaria,2024-10-10
39,10,6.21,Extraordinaria,2024-10-25
39,7,6.95,Ordinaria,2024-01-16
39,3,6.45,Ordinaria,2025-02-09
40,2,4.75,Extraordinaria,2024-08-13
40,4,8.21,Extraordinaria,2025-02-14
40,7,7.63,Ordinaria,2023-12-17
41,7,7.69,Extraordinaria,2023-09-09
41,2,5.14,Extraordinaria,2024-09-02
41,8,8.6,Extraordinaria,2024-05-13
42,6,4.4,Ordinaria,2024-01-11
42,1,7.38,Ordinaria,2023-06-09
42,2,9.79,Ordinaria,2024-07-30
43,8,5.01,Ordinaria,2024-02-28
43,9,5.65,Extraordinaria,2024-01-26
43,4,6.65,Extraordinaria,2024-06-24
44,2,5.74,Extraordinaria,2023-05-17
44,3,4.17,Extraordinaria,2024-11-07
44,7,6.6,Extraordinaria,2024-12-10
45,10,4.91,Extraordinaria,2024-04-14
45,3,7.21,Ordinaria,2023-05-17
45,2,5.12,Ordinaria,2023-07-12
46,7,8.82,Extraordinaria,2024-10-06
46,1,5.33,Ordinaria,2025-04-14
46,10,6.02,Ordinaria,2024-08-30
47,4,7.72,Ordinaria,2023-07-27
47,2,4.65,Ordinaria,2023-07-28
47,3,6.84,Extraordinaria,2023-10-04
48,6,8.46,Ordinaria,2024-05-21
48,2,4.09,Ordinaria,2024-09-16
48,1,6.78,Ordinaria,2023-07-08
49,2,6.89,Ordinaria,2025-02-18
49,9,7.67,Ordinaria,2023-11-25
49,5,4.64,Ordinaria,2024-06-30
50,9,4.52,Ordinaria,2024-11-29
50,5,7.28,Extraordinaria,2024-07-19
50,6,6.95,Ordinaria,2024-06-02
51,4,6.88,Extraordinaria,2024-10-27
51,5,7.02,Extraordinaria,2024-01-02
51,1,5.48,Ordinaria,2024-12-04
52,10,6.85,Extraordinaria,2024-01-06
52,8,6.94,Ordinaria,2024-11-17
52,6,5.43,Ordinaria,2024-08-25
53,1,9.3,Ordinaria,2024-02-15
53,4,7.21,Ordinaria,2024-10-21
53,10,4.71,Extraordinaria,2024-07-26
54,4,7.48,Extraordinaria,2024-07-29
54,3,5.04,Extraordinaria,2023-10-24
54,10,7.68,Ordinaria,2024-03-11
55,10,8.24,Extraordinaria,2024-05-13
55,7,5.27,Extraordinaria,2024-07-29
55,2,7.95,Extraordinaria,2023-10-17
56,3,7.12,Ordinaria,2024-04-16
56,7,7.73,Extraordinaria,2024-07-20
56,8,9.35,Extraordinaria,2025-03-26
57,3,6.13,Ordinaria,2024-07-01
57,9,5.37,Extraordinaria,2024-07-11
57,4,5.17,Ordinaria,2024-01-01
58,6,5.28,Extraordinaria,2023-09-17
58,9,6.38,Ordinaria,2024-07-18
58,3,7.01,Extraordinaria,2024-04-14
59,7,6.92,Ordinaria,2024-09-27
59,10,7.74,Ordinaria,2023-07-07
59,1,6.52,Extraordinaria,2025-03-05
60,2,8.68,Extraordinaria,2025-04-09
60,9,6.1,Ordinaria,2024-11-15
60,10,10.0,Extraordinaria,2023-09-23
61,2,7.44,Extraordinaria,2024-11-07
61,6,5.21,Ordinaria,2024-10-29
61,9,4.89,Ordinaria,2024-12-22
62,5,7.22,Extraordinaria,2023-07-15
62,1,6.16,Ordinaria,2023-09-14
62,2,7.57,Extraordinaria,2024-05-31
63,2,7.21,Extraordinaria,2024-01-23
63,10,6.39,Extraordinaria,2024-08-11
63,3,5.23,Ordinaria,2024-01-24
64,9,4.23,Extraordinaria,2024-12-30
64,6,5.83,Ordinaria,2023-12-04
64,5,7.78,Ordinaria,2024-10-05
65,3,6.82,Ordinaria,2024-10-07
65,6,4.63,Extraordinaria,2024-04-04
65,7,6.76,Extraordinaria,2025-01-09
66,8,7.08,Ordinaria,2024-08-08
66,3,5.17,Ordinaria,2023-07-26
66,5,6.73,Ordinaria,2024-11-24
67,3,6.59,Ordinaria,2024-05-22
67,7,4.79,Extraordinaria,2024-05-20
67,5,7.04,Ordinaria,2024-12-24
68,10,7.34,Ordinaria,2023-06-17
68,7,8.12,Extraordinaria,2024-05-05
68,8,8.08,Extraordinaria,2024-01-01
69,8,4.43,Extraordinaria,2024-12-24
69,9,5.09,Extraordinaria,2024-09-12
69,5,7.27,Ordinaria,2024-07-02
70,5,7.27,Extraordinaria,2024-02-20
70,2,7.27,Extraordinaria,2024-10-28
70,10,10.0,Ordinaria,2024-02-14
71,2,7.36,Ordinaria,2024-04-18
71,10,8.2,Ordinaria,2023-12-19
71,4,7.93,Ordinaria,2025-02-15
72,2,7.48,Ordinaria,2024-03-05
72,5,6.03,Extraordinaria,2023-11-18
72,8,7.64,Ordinaria,2024-07-01
73,8,5.34,Extraordinaria,2023-07-22
73,10,6.14,Ordinaria,2025-02-13
73,2,5.77,Ordinaria,2024-01-16
74,1,6.62,Ordinaria,2025-03-02
74,7,9.97,Ordinaria,2023-09-18
74,6,3.7,Extraordinaria,2025-05-07
75,3,7.53,Ordinaria,2023-06-04
75,9,4.08,Ordinaria,2023-10-15
75,4,5.79,Extraordinaria,2024-10-24
76,3,8.13,Ordinaria,2024-05-29
76,9,6.6,Extraordinaria,2024-06-11
76,6,4.88,Extraordinaria,2024-04-03
77,7,5.43,Ordinaria,2023-07-24
77,3,7.52,Extraordinaria,2024-11-04
77,6,5.4,Ordinaria,2025-04-16
78,9,6.82,Extraordinaria,2024-12-09
78,2,6.57,Extraordinaria,2023-07-07
78,5,5.52,Extraordinaria,2023-09-10
79,5,9.72,Extraordinaria,2023-10-09
79,4,7.45,Ordinaria,2025-04-13
79,1,3.46,Extraordinaria,2023-12-13
80,9,6.78,Extraordinaria,2024-04-01
80,1,5.51,Ordinaria,2024-01-04
80,8,7.78,Extraordinaria,2025-01-02
81,1,5.31,Extraordinaria,2023-08-06
81,8,6.33,Extraordinaria,2024-07-18
81,6,7.26,Ordinaria,2023-05-17
82,1,7.8,Extraordinaria,2023-05-21
82,6,4.7,Extraordinaria,2024-08-15
82,3,6.0,Ordinaria,2023-06-05
83,2,5.79,Ordinaria,2024-04-03
83,7,5.52,Ordinaria,2024-11-23
83,8,9.15,Ordinaria,2024-11-20
84,7,7.11,Ordinaria,2023-11-23
84,2,4.61,Ordinaria,2023-10-02
84,8,7.88,Extraordinaria,2023-05-19
85,4,9.68,Extraordinaria,2024-12-10
85,8,8.05,Extraordinaria,2024-07-03
85,7,4.22,Extraordinaria,2023-05-31
86,7,5.77,Ordinaria,2023-09-20
86,3,8.4,Extraordinaria,2023-09-14
86,5,5.44,Extraordinaria,2023-11-29
87,3,7.17,Extraordinaria,2023-08-11
87,10,7.66,Ordinaria,2024-11-13
87,6,5.11,Extraordinaria,2024-09-10
88,4,6.41,Extraordinaria,2025-01-25
88,2,1.64,Ordinaria,2023-10-13
88,10,4.96,Ordinaria,2024-11-04
89,7,6.12,Ordinaria,2024-07-27
89,10,4.63,Ordinaria,2024-07-21
89,6,8.95,Ordinaria,2024-03-19
90,8,4.35,Extraordinaria,2025-03-13
90,5,5.84,Extraordinaria,2025-04-17
90,2,6.7,Extraordinaria,2023-12-28
91,3,8.66,Extraordinaria,2024-07-08
91,6,4.35,Ordinaria,2023-06-23
91,7,8.24,Ordinaria,2025-01-30
92,2,6.52,Ordinaria,2023-09-26
92,1,5.03,Extraordinaria,2023-05-13
92,3,7.19,Ordinaria,2025-01-15
93,4,6.8,Extraordinaria,2024-10-07
93,1,5.6,Ordinaria,2025-02-02
93,6,6.6,Extraordinaria,2024-08-15
94,8,5.92,Extraordinaria,2025-02-26
94,5,6.67,Ordinaria,2023-10-25
94,9,7.49,Extraordinaria,2024-01-01
95,4,8.88,Ordinaria,2024-08-06
95,3,4.64,Extraordinaria,2023-09-02
95,9,9.7,Ordinaria,2023-05-20
96,5,3.57,Ordinaria,2024-09-11
96,4,6.27,Extraordinaria,2024-10-17
96,7,7.38,Ordinaria,2025-03-18
97,9,6.92,Ordinaria,2024-11-22
97,3,5.57,Ordinaria,2025-04-25
97,4,6.19,Ordinaria,2023-09-02
98,3,5.76,Extraordinaria,2023-05-31
98,7,5.62,Ordinaria,2024-05-29
98,1,7.77,Ordinaria,2023-10-16
99,7,7.04,Ordinaria,2024-10-18
99,1,5.46,Ordinaria,2024-07-11
99,4,7.85,Extraordinaria,2023-10-10
100,7,6.96,Ordinaria,2025-03-13
100,9,7.72,Ordinaria,2023-10-08
100,5,7.44,Extraordinaria,2025-04-27
101,7,5.26,Extraordinaria,2024-02-12
101,8,5.66,Ordinaria,2024-10-31
101,1,7.62,Extraordinaria,2024-07-19
102,2,7.42,Extraordinaria,2025-03-28
102,5,6.47,Extraordinaria,2025-01-16
102,6,6.68,Extraordinaria,2024-11-27
103,4,8.42,Ordinaria,2025-02-01
103,6,5.61,Ordinaria,2024-05-20
103,1,7.32,Ordinaria,2023-10-24
104,1,6.2,Extraordinaria,2024-09-23
104,6,6.17,Extraordinaria,2025-01-25
104,4,8.15,Extraordinaria,2025-02-02
105,10,7.74,Ordinaria,2023-06-04
105,2,7.72,Extraordinaria,2023-12-09
105,7,8.46,Extraordinaria,2024-09-05
106,6,6.53,Ordinaria,2023-09-05
106,10,7.52,Ordinaria,2024-01-26
106,5,6.03,Ordinaria,2024-09-18
107,9,6.99,Extraordinaria,2023-06-09
107,3,6.3,Extraordinaria,2025-04-16
107,6,6.65,Extraordinaria,2024-03-28
108,4,7.39,Extraordinaria,2024-11-07
108,5,5.27,Ordinaria,2024-05-01
108,10,9.64,Ordinaria,2024-08-21
109,3,4.99,Ordinaria,2024-04-14
109,2,4.68,Ordinaria,2023-07-19
109,1,8.24,Extraordinaria,2024-10-01
110,2,7.69,Extraordinaria,2023-06-13
110,10,7.44,Extraordinaria,2023-10-01
110,6,7.44,Ordinaria,2025-04-17
111,9,6.48,Ordinaria,2023-09-26
111,3,5.15,Ordinaria,2023-10-24
111,1,6.61,Extraordinaria,2024-09-26
112,9,5.48,Extraordinaria,2023-11-10
112,5,7.96,Extraordinaria,2024-12-31
112,6,6.28,Ordinaria,2025-04-30
113,7,5.26,Extraordinaria,2024-12-09
113,2,6.02,Ordinaria,2024-12-07
113,8,7.12,Ordinaria,2023-12-23
114,10,5.65,Extraordinaria,2024-04-02
114,5,5.27,Ordinaria,2024-12-01
114,3,6.87,Ordinaria,2023-07-10
115,4,6.87,Ordinaria,2024-12-06
115,7,5.74,Ordinaria,2023-09-25
115,8,5.79,Extraordinaria,2024-03-16
116,9,6.85,Extraordinaria,2023-08-29
116,7,4.33,Extraordinaria,2024-05-14
116,10,4.39,Ordinaria,2024-04-26
117,3,5.42,Ordinaria,2024-01-18
117,1,6.18,Ordinaria,2024-08-21
117,10,6.97,Extraordinaria,2024-09-26
118,9,8.71,Extraordinaria,2024-02-02
118,10,7.79,Ordinaria,2023-11-24
118,5,6.26,Extraordinaria,2024-08-04
119,5,6.47,Ordinaria,2023-06-08
119,9,5.0,Ordinaria,2023-09-11
119,2,6.47,Ordinaria,2025-01-09
120,9,6.07,Ordinaria,2023-11-01
120,4,6.98,Ordinaria,2024-02-17
120,5,5.26,Extraordinaria,2025-02-25
121,3,7.28,Ordinaria,2024-06-22
121,5,8.8,Ordinaria,2024-02-10
121,1,6.34,Ordinaria,2023-11-02
122,1,7.1,Extraordinaria,2023-12-05
122,6,7.54,Ordinaria,2023-10-01
122,9,5.9,Extraordinaria,2024-09-24
123,3,6.84,Extraordinaria,2024-12-06
123,7,6.52,Ordinaria,2024-02-06
123,5,6.65,Ordinaria,2024-01-06
124,6,5.34,Ordinaria,2023-09-03
124,4,6.54,Extraordinaria,2023-05-20
124,5,7.25,Ordinaria,2023-05-20
125,9,8.68,Extraordinaria,2024-07-14
125,2,7.94,Ordinaria,2023-07-17
125,7,9.73,Extraordinaria,2024-03-13
126,4,5.35,Ordinaria,2025-03-14
126,6,7.81,Extraordinaria,2023-11-26
126,5,6.78,Ordinaria,2023-09-11
127,8,9.78,Extraordinaria,2023-10-21
127,4,5.29,Ordinaria,2024-12-13
127,7,5.24,Extraordinaria,2024-04-24
128,2,5.6,Extraordinaria,2023-09-07
128,8,3.31,Ordinaria,2025-01-04
128,3,5.71,Ordinaria,2023-06-01
129,4,5.36,Extraordinaria,2023-11-20
129,8,6.73,Ordinaria,2024-10-06
129,3,7.01,Extraordinaria,2025-03-08
130,3,9.31,Ordinaria,2025-02-02
130,10,7.93,Ordinaria,2024-07-26
130,7,5.63,Ordinaria,2024-09-25
131,2,5.15,Extraordinaria,2024-01-08
131,7,7.24,Extraordinaria,2024-04-18
131,4,4.52,Ordinaria,2024-04-13
132,9,9.25,Ordinaria,2024-02-23
132,3,8.27,Extraordinaria,2023-08-23
132,1,5.8,Extraordinaria,2024-03-01
133,1,3.93,Ordinaria,2024-05-26
133,2,8.53,Ordinaria,2023-07-31
133,10,6.33,Ordinaria,2024-04-16
134,2,8.36,Ordinaria,2025-04-25
134,5,4.11,Ordinaria,2024-02-27
134,3,5.6,Ordinaria,2023-09-24
135,9,6.51,Ordinaria,2024-01-13
135,6,6.57,Ordinaria,2024-05-03
135,2,5.82,Extraordinaria,2024-03-09
136,10,7.43,Extraordinaria,2023-09-10
136,8,4.9,Extraordinaria,2024-08-17
136,3,6.29,Extraordinaria,2023-12-01
137,3,6.68,Extraordinaria,2024-10-25
137,4,7.27,Ordinaria,2023-12-16
137,1,7.57,Ordinaria,2025-01-14
138,1,4.81,Ordinaria,2024-12-24
138,2,4.2,Extraordinaria,2024-05-28
138,5,8.42,Ordinaria,2024-06-04
139,1,7.0,Ordinaria,2025-04-05
139,4,5.38,Extraordinaria,2024-09-12
139,10,8.83,Extraordinaria,2024-11-06
140,3,6.67,Ordinaria,2025-04-28
140,6,8.27,Extraordinaria,2024-08-12
140,5,6.6,Ordinaria,2024-12-28
141,8,9.59,Ordinaria,2025-04-12
141,3,9.13,Ordinaria,2024-02-03
141,2,6.13,Extraordinaria,2023-07-23
142,6,7.96,Ordinaria,2023-09-21
142,2,7.47,Extraordinaria,2023-05-15
142,10,8.55,Ordinaria,2023-10-21
143,1,5.05,Extraordinaria,2024-04-06
143,3,7.53,Extraordinaria,2024-08-25
143,9,8.09,Ordinaria,2024-08-03
144,7,3.86,Extraordinaria,2023-12-30
144,3,4.73,Extraordinaria,2024-10-01
144,5,3.44,Ordinaria,2024-09-16
145,5,6.1,Extraordinaria,2024-10-12
145,8,7.58,Ordinaria,2023-08-25
145,6,8.75,Ordinaria,2023-05-23
146,3,6.61,Ordinaria,2023-12-14
146,10,8.94,Extraordinaria,2023-06-09
146,6,4.43,Extraordinaria,2023-12-10
147,8,3.94,Extraordinaria,2025-03-11
147,2,6.42,Extraordinaria,2023-08-05
147,9,7.08,Ordinaria,2023-06-20
148,2,6.45,Ordinaria,2025-04-26
148,6,3.4,Extraordinaria,2023-11-24
148,3,6.37,Extraordinaria,2024-10-17
149,6,4.54,Extraordinaria,2024-06-06
149,8,7.5,Extraordinaria,2025-02-20
149,7,7.05,Extraordinaria,2023-08-05
150,3,5.09,Extraordinaria,2024-09-04
150,4,5.73,Extraordinaria,2025-02-01
150,7,4.91,Extraordinaria,2024-10-23
151,9,6.41,Extraordinaria,2025-04-03
151,10,7.93,Ordinaria,2025-03-21
151,4,5.02,Extraordinaria,2024-12-31
152,9,7.26,Ordinaria,2024-10-13
152,4,5.7,Extraordinaria,2025-02-20
152,2,5.31,Ordinaria,2024-09-14
153,4,6.34,Extraordinaria,2025-04-29
153,1,4.95,Ordinaria,2023-11-27
153,6,5.67,Ordinaria,2025-04-11
154,1,4.7,Ordinaria,2024-01-26
154,6,9.45,Extraordinaria,2023-06-22
154,9,6.55,Extraordinaria,2023-09-12
155,3,5.45,Ordinaria,2025-01-11
155,9,6.82,Ordinaria,2024-04-28
155,7,6.33,Ordinaria,2025-03-14
156,1,6.17,Ordinaria,2025-02-25
156,3,7.42,Extraordinaria,2024-04-16
156,2,7.64,Ordinaria,2023-11-19
157,7,5.7,Ordinaria,2024-11-08
157,6,5.64,Ordinaria,2023-06-25
157,1,6.09,Extraordinaria,2025-02-19
158,10,3.05,Ordinaria,2024-01-07
158,3,4.23,Extraordinaria,2024-11-19
158,1,8.55,Ordinaria,2024-01-19
159,2,8.97,Ordinaria,2024-01-13
159,4,6.13,Extraordinaria,2024-06-25
159,10,7.36,Ordinaria,2025-01-16
160,3,6.97,Extraordinaria,2024-06-30
160,8,10.0,Extraordinaria,2023-06-05
160,10,8.18,Extraordinaria,2024-01-30
161,6,6.31,Extraordinaria,2023-10-24
161,8,5.07,Ordinaria,2024-09-18
161,1,4.09,Ordinaria,2025-01-09
162,1,6.81,Ordinaria,2023-07-16
162,10,5.37,Ordinaria,2024-12-10
162,3,4.37,Extraordinaria,2023-10-11
163,7,5.53,Extraordinaria,2025-02-14
163,8,4.88,Ordinaria,2024-07-21
163,5,9.03,Extraordinaria,2024-12-28
164,3,7.82,Extraordinaria,2025-04-08
164,5,6.49,Ordinaria,2024-03-22
164,2,8.72,Ordinaria,2023-06-29
165,7,6.62,Extraordinaria,2023-12-14
165,1,5.21,Ordinaria,2025-01-22
165,4,8.78,Ordinaria,2025-03-15
166,8,7.31,Extraordinaria,2024-09-09
166,10,4.94,Extraordinaria,2024-11-19
166,6,6.21,Ordinaria,2025-01-22
167,1,5.19,Ordinaria,2024-01-19
167,6,4.43,Extraordinaria,2024-01-16
167,7,7.89,Ordinaria,2024-08-10
168,2,9.36,Extraordinaria,2023-05-19
168,10,4.4,Ordinaria,2023-12-15
168,6,7.34,Ordinaria,2023-09-03
169,5,5.52,Ordinaria,2025-04-10
169,3,5.77,Ordinaria,2024-02-23
169,2,5.61,Ordinaria,2023-08-08
170,5,5.2,Ordinaria,2024-02-02
170,4,6.57,Ordinaria,2024-08-15
170,9,5.25,Extraordinaria,2023-12-26
171,2,6.91,Ordinaria,2023-10-02
171,1,6.42,Ordinaria,2025-04-25
171,8,6.14,Extraordinaria,2024-05-06
172,2,5.14,Extraordinaria,2024-05-28
172,5,5.63,Extraordinaria,2024-07-23
172,1,7.63,Extraordinaria,2024-09-27
173,9,7.25,Extraordinaria,2024-10-12
173,4,5.03,Extraordinaria,2023-07-05
173,6,6.65,Ordinaria,2024-11-29
174,2,7.63,Ordinaria,2023-09-14
174,6,4.0,Ordinaria,2023-08-10
174,7,7.32,Ordinaria,2025-02-11
175,10,5.51,Ordinaria,2025-04-10
175,7,7.36,Extraordinaria,2024-06-10
175,8,5.36,Ordinaria,2023-05-14
176,3,3.79,Ordinaria,2025-03-05
176,8,4.06,Ordinaria,2023-11-05
176,2,6.57,Ordinaria,2025-05-09
177,3,6.89,Extraordinaria,2025-03-02
177,10,5.14,Ordinaria,2023-07-11
177,6,7.46,Extraordinaria,2024-01-19
178,5,4.01,Ordinaria,2023-12-16
178,6,6.4,Extraordinaria,2024-08-27
178,7,4.68,Ordinaria,2023-12-06
179,4,5.52,Extraordinaria,2023-12-26
179,2,6.57,Ordinaria,2025-03-13
179,3,5.21,Ordinaria,2025-02-18
180,3,5.92,Extraordinaria,2025-02-01
180,5,8.01,Ordinaria,2023-08-13
180,2,5.63,Extraordinaria,2024-12-12
181,6,7.75,Ordinaria,2025-03-17
181,3,4.81,Ordinaria,2023-06-06
181,5,7.29,Extraordinaria,2023-06-27
182,10,8.66,Ordinaria,2023-12-06
182,6,2.79,Ordinaria,2025-02-26
182,9,5.3,Ordinaria,2024-06-22
183,8,7.37,Extraordinaria,2024-09-30
183,5,6.2,Extraordinaria,2023-12-21
183,10,7.06,Ordinaria,2024-04-26
184,2,5.59,Extraordinaria,2024-08-20
184,8,6.63,Extraordinaria,2023-05-31
184,1,6.27,Extraordinaria,2024-08-06
185,7,8.25,Extraordinaria,2024-12-15
185,3,6.88,Extraordinaria,2025-02-28
185,8,7.01,Extraordinaria,2024-08-21
186,2,5.88,Extraordinaria,2024-12-19
186,7,5.77,Ordinaria,2023-12-24
186,8,5.85,Ordinaria,2025-03-11
187,4,7.09,Ordinaria,2024-06-07
187,9,5.87,Ordinaria,2024-09-25
187,1,6.93,Extraordinaria,2024-08-24
188,7,9.61,Ordinaria,2024-04-09
188,3,7.81,Ordinaria,2023-10-23
188,10,6.01,Extraordinaria,2024-03-13
189,8,8.3,Extraordinaria,2023-09-09
189,2,5.89,Extraordinaria,2023-10-06
189,6,3.44,Extraordinaria,2024-05-23
190,2,4.99,Ordinaria,2025-03-29
190,10,3.69,Extraordinaria,2023-09-06
190,3,5.97,Extraordinaria,2023-09-22
191,4,6.53,Ordinaria,2023-09-11
191,7,9.01,Extraordinaria,2023-10-31
191,6,6.99,Extraordinaria,2023-07-28
192,10,6.17,Extraordinaria,2024-02-16
192,8,7.74,Ordinaria,2023-09-04
192,4,3.18,Extraordinaria,2025-02-06
193,8,6.85,Extraordinaria,2024-07-15
193,1,7.66,Ordinaria,2024-09-21
193,3,4.28,Ordinaria,2024-12-26
194,6,8.22,Ordinaria,2023-08-26
194,1,7.01,Extraordinaria,2024-09-19
194,7,5.88,Extraordinaria,2024-09-14
195,8,7.45,Ordinaria,2023-07-05
195,4,9.91,Ordinaria,2024-05-17
195,1,6.77,Extraordinaria,2023-05-17
196,5,6.87,Ordinaria,2023-09-01
196,10,5.81,Ordinaria,2025-01-26
196,3,5.23,Ordinaria,2023-10-01
197,5,7.75,Extraordinaria,2024-08-21
197,7,5.22,Extraordinaria,2025-01-09
197,2,6.61,Extraordinaria,2025-04-18
198,9,5.78,Ordinaria,2024-05-08
198,4,7.22,Ordinaria,2023-06-02
198,5,7.0,Ordinaria,2025-04-10
199,7,8.06,Ordinaria,2024-03-03
199,6,5.73,Ordinaria,2024-06-18
199,5,6.1,Extraordinaria,2024-12-02
200,7,5.03,Ordinaria,2025-03-27
200,8,5.83,Extraordinaria,2024-11-11
200,9,7.07,Extraordinaria,2023-07-29
201,10,7.64,Ordinaria,2023-06-08
201,7,5.12,Ordinaria,2023-06-26
201,1,7.8,Ordinaria,2024-05-09
202,6,8.53,Ordinaria,2024-07-08
202,10,7.12,Extraordinaria,2023-10-10
202,1,9.32,Ordinaria,2025-05-06
203,8,5.34,Extraordinaria,2023-12-26
203,6,4.63,Extraordinaria,2024-02-17
203,2,3.83,Ordinaria,2025-02-18
204,8,8.74,Ordinaria,2023-05-24
204,3,7.48,Ordinaria,2024-01-06
204,10,6.42,Ordinaria,2024-11-24
205,4,6.92,Extraordinaria,2024-12-08
205,7,4.81,Ordinaria,2024-02-25
205,3,10.0,Extraordinaria,2023-05-18
206,4,6.69,Extraordinaria,2024-06-03
206,10,6.66,Extraordinaria,2024-11-24
206,1,7.59,Ordinaria,2024-08-07
207,5,7.22,Extraordinaria,2025-04-19
207,10,6.84,Extraordinaria,2023-06-30
